Feature,Importance
Assortment_b,0.23359968
Customers,0.22735295
StoreType_d,0.15360717
StoreType_b,0.11326558
Promo,0.04877873
Assortment_c,0.022648584
Promo2,0.021899385
CompetitionDistance,0.020374168
Promo2SinceYear,0.014210656
Promo2SinceWeek,0.013900964
DayOfWeek,0.012445933
StoreType_c,0.01110628
"PromoInterval_Mar,Jun,Sept,Dec",0.010365931
CompetitionOpenSinceYear,0.010258129
CompetitionOpenSinceMonth,0.009312927
Store,0.0092604
PromoInterval_None,0.008758684
Day,0.0080485195
Month,0.0075290683
"PromoInterval_Jan,Apr,Jul,Oct",0.006955557
PromoAge,0.0064310846
Year,0.005626643
IsWeekend,0.004919538
StateHoliday_a,0.0047585606
StateHoliday_b,0.0040370864
CompetitionAge,0.0035414924
Quarter,0.0033105172
SchoolHoliday,0.0018881407
StateHoliday_0,0.0009882337
StateHoliday_c,0.00081949285
Open,0.0
